base,digits,unique_cycle_ids
34,2,3
34,3,0
34,4,73
34,5,66
34,6,136
34,7,1114
34,8,1828
35,2,4
35,3,17
35,4,52
35,5,194
35,6,408
35,7,1799
35,8,1270
36,2,1
36,3,0
36,4,24
36,5,1
36,6,206
36,7,1762
36,8,292
37,2,5
37,3,18
37,4,33
37,5,201
37,6,277
37,7,2203
37,8,448
38,2,2
38,3,0
38,4,43
38,5,36
38,6,209
38,7,2785
38,8,429
39,2,4
39,3,19
39,4,66
39,5,0
39,6,84
39,7,2605
39,8,1032
40,2,2
40,3,0
40,4,0
40,5,73
40,6,97
40,7,2598
40,8,448
41,2,8
41,3,16
41,4,76
41,5,227
41,6,182
41,7,2397
41,8,1467
42,2,3
42,3,0
42,4,108
42,5,1
42,6,306
42,7,261
42,8,399
