base,digits,fixed_point_values
2,2,1
2,3,3
2,4,"7,9"
2,5,"15,21"
2,6,"31,45,49"
2,7,"63,93,105"
2,8,"127,189,217,225"
2,9,"255,381,441,465"
2,10,"511,765,889,945,961"
2,11,"1023,1533,1785,1905,1953"
2,12,"2047,3069,3577,3825,3937,3969"
2,13,"4095,6141,7161,7665,7905,8001"
2,14,"8191,12285,14329,15345,15841,16065,16129"
2,15,"16383,24573,28665,30705,31713,32193,32385"
2,16,"32767,49149,57337,61425,63457,64449,64897,65025"
2,17,"65535,98301,114681,122865,126945,128961,129921,130305"
2,18,"131071,196605,229369,245745,253921,257985,259969,260865,261121"
2,19,"262143,393213,458745,491505,507873,516033,520065,521985,522753"
2,20,"524287,786429,917497,983025,1015777,1032129,1040257,1044225,1046017,1046529"
2,21,"1048575,1572861,1835001,1966065,2031585,2064321,2080641,2088705,2092545,2094081"
2,22,"2097151,3145725,3670009,3932145,4063201,4128705,4161409,4177665,4185601,4189185,4190209"
2,23,"4194303,6291453,7340025,7864305,8126433,8257473,8322945,8355585,8371713,8379393,8382465"
2,24,"8388607,12582909,14680057,15728625,16252897,16515009,16646017,16711425,16743937,16759809,16766977,16769025"
2,25,"16777215,25165821,29360121,31457265,32505825,33030081,33292161,33423105,33488385,33520641,33536001,33542145"
2,26,"33554431,50331645,58720249,62914545,65011681,66060225,66584449,66846465,66977281,67042305,67074049,67088385,67092481"
2,27,"67108863,100663293,117440505,125829105,130023393,132120513,133169025,133693185,133955073,134085633,134150145,134180865,134193153"
2,28,"134217727,201326589,234881017,251658225,260046817,264241089,266338177,267386625,267910657,268172289,268302337,268365825,268394497,268402689"
2,29,"268435455,402653181,469762041,503316465,520093665,528482241,532676481,534773505,535821825,536345601,536606721,536735745,536797185,536821761"
2,30,"536870911,805306365,939524089,1006632945,1040187361,1056964545,1065353089,1069547265,1071644161,1072692225,1073215489,1073475585,1073602561,1073659905,1073676289"
3,5,184
3,7,2008
3,8,5332
3,9,19144
3,10,55360
3,11,"146488,175528"
3,12,520372
3,13,"1502344,1589464"
3,14,"3975844,4749760"
3,15,"14072968,14334328"
3,16,"40625344,42947092"
3,17,"107527864,128312344,129096424"
3,18,"380156356,387121600"
3,19,"1097424568,1159778008,1162130248"
3,20,"2904855412,3464992000,3485887732"
3,21,"10265842504,10452902824,10459959544"
3,22,"29635272640,31315682404,31378369600"
3,23,"78445471288,93559646728,94120827688,94141997848"
3,24,"277192175572,282233404864,282421466452"
3,25,"800195486824,845538013144,847221556024,847285066504"
3,26,"2118156943684,2526153745600,2541277433476,2541841618240"
3,27,"7484318117128,7620345696088,7625396324728,7625586856168"
3,28,"21605665801024,22829656206772,22875027270400,22876719824692"
3,29,"57191399977144,68206539261304,68614621998184,68629773884104,68630345478424"
3,30,"202077752132836,205749723350080,205885836540964,205890914203840"
4,3,30
4,4,201
4,6,"2550,3369,3873"
4,7,14565
4,8,"54441,62625,64641"
4,9,"171990,234405,254865"
4,10,"873129,954261,1004193,1036929,1044993"
4,11,"3755685,4083345,4165185"
4,12,"11140950,13978281,15285909,16075425,16399953,16599681,16730625,16762881"
4,13,"60111525,61406805,65354385,66665025,66992385"
4,14,"223685289,244644501,257239713,262470225,265628289,266926401,267725313,268249089,268378113"
4,15,"715128150,961866405,982776405,1045752465,1050933585,1066723905,1071966465,1073275905"
4,16,"3579095721,3914590869,3935304021,4115966625,4199803473,4250184321,4271106369,4283738625,4288931073,4292126721,4294221825,4294737921"
4,17,"15390190245,15725488725,16732367505,16816007505,17067911745,17088636225,17151797505,17172767745,17178005505"
