base,digits,num_cycles,fixed_points
11,2,0,1
11,3,1320,0
11,4,14630,0
11,5,161040,0
11,6,1771550,0
11,7,19487160,0
11,8,200364246,1
12,2,132,0
12,3,0,1
12,4,20724,0
12,5,4790,1
12,6,2983092,1
12,7,34016878,1
12,8,388489932,2
13,2,144,0
13,3,2184,0
13,4,28548,0
13,5,371280,0
13,6,0,1
13,7,62748504,0
13,8,124396014,1
14,2,156,1
14,3,0,1
14,4,38402,0
14,5,537810,0
14,6,7525532,1
14,7,105413490,0
14,8,403052936,1
15,2,0,0
15,3,3360,0
15,4,48450,1
15,5,0,1
15,6,11390610,0
15,7,170859360,0
15,8,2552626930,1
16,2,240,0
16,3,0,1
16,4,65520,0
16,5,1048560,0
16,6,16771920,1
16,7,245638596,1
16,8,4294967280,0
17,2,192,1
17,3,4896,0
17,4,83504,0
17,5,1419840,0
17,6,0,1
17,7,410338656,0
17,8,6975757424,0
18,2,306,0
18,3,0,1
18,4,104958,0
18,5,11510,1
18,6,34005456,1
18,7,612220014,0
18,8,11008930126,1
19,2,288,0
19,3,6840,0
19,4,130302,0
19,5,2476080,0
19,6,47045862,0
19,7,893871720,0
19,8,16983563022,0
20,2,342,1
20,3,0,1
20,4,38248,1
20,5,3199980,0
20,6,63656780,2
20,7,950548004,1
20,8,25599999980,0
21,2,400,0
21,3,9240,0
21,4,194460,0
21,5,0,1
21,6,85766100,0
21,7,1801088520,0
21,8,37802666748,1
22,2,462,0
22,3,0,1
22,4,234234,0
22,5,5153610,0
22,6,113369652,1
22,7,2494357866,0
22,8,54875873514,0
23,2,0,1
23,3,12144,0
23,4,279818,0
23,5,6436320,0
23,6,148035866,0
23,7,3404825424,0
23,8,78310985258,0
24,2,552,0
24,3,0,1
24,4,331752,0
24,5,21110,1
24,6,191090712,1
24,7,3967823300,1
24,8,110044236840,1
25,2,576,0
25,3,15600,0
25,4,384600,1
25,5,9765600,0
25,6,243828000,1
25,7,6103515600,0
25,8,152584275800,1
26,2,600,1
26,3,0,1
26,4,456950,0
26,5,11881350,0
26,6,308022200,2
26,7,8031810150,0
26,8,208827064550,0
27,2,624,0
27,3,19656,0
27,4,531414,0
27,5,0,1
27,6,261148006,1
27,7,10460353176,0
27,8,275354050978,2
28,2,756,0
28,3,0,1
28,4,614628,0
28,5,17210340,0
28,6,481873476,1
28,7,11758663406,1
28,8,377737788708,1
29,2,672,1
29,3,24360,0
29,4,707252,0
29,5,20511120,0
29,6,594823292,0
29,7,17249876280,0
29,8,500246412932,0
30,2,870,0
30,3,0,1
30,4,779730,1
30,5,33590,1
30,6,728980620,1
30,7,21869999970,0
30,8,656033410818,1
31,2,0,0
31,3,29760,0
31,4,923490,0
31,5,28629120,0
31,6,887503650,0
31,7,27512614080,0
31,8,845991708610,1
32,2,930,1
32,3,0,1
32,4,1048544,0
32,5,33554400,0
32,6,1073719712,1
32,7,29364297606,1
32,8,1099511627744,0
