base,digits,fixed_point_values
2,2,1
2,3,3
2,4,"7,9"
2,5,"15,21"
2,6,"31,45,49"
2,7,"63,93,105"
2,8,"127,189,217,225"
2,9,"255,381,441,465"
2,10,"511,765,889,945,961"
3,5,184
3,7,2008
3,8,5332
3,9,19144
3,10,55360
4,3,30
4,4,201
4,6,"2550,3369,3873"
4,7,14565
4,8,"54441,62625,64641"
4,9,"171990,234405,254865"
4,10,"873129,954261,1004193,1036929,1044993"
5,2,8
5,4,392
5,9,1831056
6,3,105
6,5,5600
6,6,"27195,33860,42925"
6,8,"1275170,1657225"
6,9,6018495
6,10,"45962330,47681900,56319925,60331825"
8,2,21
8,3,252
8,6,"147420,213402"
8,7,1711962
8,8,16092433
8,9,76545756
8,10,1068263553
9,5,41520
9,8,31531872
9,9,326952560
9,10,2598744000
10,3,495
10,4,6174
10,6,"549945,631764"
10,8,"63317664,97508421"
10,9,"554999445,864197532"
10,10,"6333176664,9753086421,9975084201"
11,2,40
11,8,144005800
11,9,2074816680
12,3,858
12,5,172744
12,6,1617330
12,7,28428543
12,8,"308551012,383468294"
12,9,2812795986
12,10,44873359960
13,6,3488424
13,8,590407848
13,10,99790125192
14,2,65
14,3,1365
14,6,4033575
14,8,1344056324
14,9,"11121123195,17116239465"
15,4,30996
15,5,523040
15,8,1814904980
15,9,32363032128
15,10,410973731840
16,3,2040
16,6,8912760
16,7,209976180
16,9,"36641437560,58639501395"
16,10,1089697907745
17,2,96
17,6,19218912
17,9,102371672448
18,3,2907
18,5,1294584
18,6,17950725
18,8,7732110102
18,9,104995732401
18,10,"2461299912294,2516428367700,3545674042933"
19,9,264925230120
19,10,5036266221336
20,2,133
20,3,3990
20,4,97508
20,6,"33599790,46102626"
20,7,992797785
20,9,"269439995790,425484764544"
21,5,2787400
21,8,26358784480
21,9,667190950360
21,10,11662648597600
22,3,5313
22,6,59266515
22,9,"632319719031,1023841099890"
23,2,176
23,9,1540635187344
24,3,6900
24,5,5418800
24,6,99532500
24,7,3537391950
24,8,76313783432
24,9,"1378234655700,2157401234525"
24,10,"44068346150000,60401351783882"
