base,digits,num_cycles,fixed_points
2,2,0,1
2,3,0,1
2,4,0,2
2,5,0,2
2,6,0,3
2,7,0,3
2,8,0,4
2,9,0,4
2,10,0,5
3,2,0,0
3,3,24,0
3,4,78,0
3,5,0,1
3,6,726,0
3,7,1344,1
3,8,0,1
3,9,15270,1
3,10,18564,1
4,2,12,0
4,3,0,1
4,4,168,1
4,5,1020,0
4,6,0,3
4,7,0,1
4,8,37128,3
4,9,0,3
4,10,0,5
5,2,0,1
5,3,120,0
5,4,0,1
5,5,3120,0
5,6,15620,0
5,7,78120,0
5,8,390620,0
5,9,0,1
5,10,9765620,0
6,2,30,0
6,3,0,1
6,4,1290,0
6,5,2330,1
6,6,26760,3
6,7,279930,0
6,8,1548346,2
6,9,10067106,1
6,10,23596460,4
7,2,0,0
7,3,336,0
7,4,2394,0
7,5,16800,0
7,6,117642,0
7,7,823536,0
7,8,5764794,0
7,9,40353600,0
7,10,282475242,0
8,2,42,1
8,3,0,1
8,4,4088,0
8,5,32760,0
8,6,28564,2
8,7,1901354,1
8,8,15588216,1
8,9,134196888,1
8,10,1057492856,1
9,2,64,0
9,3,720,0
9,4,6552,0
9,5,54870,1
9,6,531432,0
9,7,4782960,0
9,8,42520424,1
9,9,336527496,1
9,10,3455286132,1
10,2,90,0
10,3,0,1
10,4,0,1
10,5,99990,0
10,6,935520,2
10,7,9999990,0
10,8,97029414,2
10,9,948576414,2
10,10,9310196730,3
11,2,0,1
11,3,1320,0
11,4,14630,0
11,5,161040,0
11,6,1771550,0
11,7,19487160,0
11,8,200364246,1
11,9,2277631500,1
11,10,25937424590,0
12,2,132,0
12,3,0,1
12,4,20724,0
12,5,4790,1
12,6,2983092,1
12,7,34016878,1
12,8,388489932,2
12,9,5159728932,1
12,10,61898337732,1
13,2,144,0
13,3,2184,0
13,4,28548,0
13,5,371280,0
13,6,0,1
13,7,62748504,0
13,8,124396014,1
13,9,10604499360,0
13,10,65673824034,1
14,2,156,1
14,3,0,1
14,4,38402,0
14,5,537810,0
14,6,7525532,1
14,7,105413490,0
14,8,403052936,1
14,9,20458556286,2
14,10,289254654962,0
15,2,0,0
15,3,3360,0
15,4,48450,1
15,5,0,1
15,6,11390610,0
15,7,170859360,0
15,8,2552626930,1
15,9,37785918036,1
15,10,576606803670,1
16,2,240,0
16,3,0,1
16,4,65520,0
16,5,1048560,0
16,6,16771920,1
16,7,245638596,1
16,8,4294967280,0
16,9,67415597808,2
16,10,1097211593520,1
17,2,192,1
17,3,4896,0
17,4,83504,0
17,5,1419840,0
17,6,0,1
17,7,410338656,0
17,8,6975757424,0
17,9,117122632812,1
17,10,2015993900432,0
18,2,306,0
18,3,0,1
18,4,104958,0
18,5,11510,1
18,6,34005456,1
18,7,612220014,0
18,8,11008930126,1
18,9,198359167878,1
18,10,2185768757554,3
19,2,288,0
19,3,6840,0
19,4,130302,0
19,5,2476080,0
19,6,47045862,0
19,7,893871720,0
19,8,16983563022,0
19,9,316115952048,1
19,10,4371465632004,1
20,2,342,1
20,3,0,1
20,4,38248,1
20,5,3199980,0
20,6,63656780,2
20,7,950548004,1
20,8,25599999980,0
20,9,498476576124,2
20,10,10239999999980,0
21,2,400,0
21,3,9240,0
21,4,194460,0
21,5,0,1
21,6,85766100,0
21,7,1801088520,0
21,8,37802666748,1
21,9,620118066132,1
21,10,16679748892800,1
22,2,462,0
22,3,0,1
22,4,234234,0
22,5,5153610,0
22,6,113369652,1
22,7,2494357866,0
22,8,54875873514,0
22,9,1180926512010,2
22,10,26559922791402,0
23,2,0,1
23,3,12144,0
23,4,279818,0
23,5,6436320,0
23,6,148035866,0
23,7,3404825424,0
23,8,78310985258,0
23,9,1788461770332,1
23,10,41426511213626,0
24,2,552,0
24,3,0,1
24,4,331752,0
24,5,21110,1
24,6,191090712,1
24,7,3967823300,1
24,8,110044236840,1
24,9,1369820567940,2
24,10,62855738227032,2
